QID,title,titleSlug,difficulty,topicTags
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,"array,hash-table,divide-and-conquer,tree,binary-tree"
107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,Medium,"tree,breadth-first-search,binary-tree"
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,Easy,"array,divide-and-conquer,tree,binary-search-tree,binary-tree"
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,Medium,"linked-list,divide-and-conquer,tree,binary-search-tree,binary-tree"
110,Balanced Binary Tree,balanced-binary-tree,Easy,"tree,depth-first-search,binary-tree"
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,Easy,"tree,depth-first-search,breadth-first-search,binary-tree"
112,Path Sum,path-sum,Easy,"tree,depth-first-search,breadth-first-search,binary-tree"
113,Path Sum II,path-sum-ii,Medium,"backtracking,tree,depth-first-search,binary-tree"
114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,Medium,"linked-list,stack,tree,depth-first-search,binary-tree"
115,Distinct Subsequences,distinct-subsequences,Hard,"string,dynamic-programming"
116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,Medium,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree"
117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,Medium,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree"
118,Pascal's Triangle,pascals-triangle,Easy,"array,dynamic-programming"
119,Pascal's Triangle II,pascals-triangle-ii,Easy,"array,dynamic-programming"
120,Triangle,triangle,Medium,"array,dynamic-programming"
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,"array,dynamic-programming"
122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,Medium,"array,dynamic-programming,greedy"
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,Hard,"array,dynamic-programming"
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,Hard,"dynamic-programming,tree,depth-first-search,binary-tree"
125,Valid Palindrome,valid-palindrome,Easy,"two-pointers,string"
126,Word Ladder II,word-ladder-ii,Hard,"hash-table,string,backtracking,breadth-first-search"
127,Word Ladder,word-ladder,Hard,"hash-table,string,breadth-first-search"
128,Longest Consecutive Sequence,longest-consecutive-sequence,Medium,"array,hash-table,union-find"
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,"tree,depth-first-search,binary-tree"
130,Surrounded Regions,surrounded-regions,Medium,"array,depth-first-search,breadth-first-search,union-find,matrix"
131,Palindrome Partitioning,palindrome-partitioning,Medium,"string,dynamic-programming,backtracking"
132,Palindrome Partitioning II,palindrome-partitioning-ii,Hard,"string,dynamic-programming"
133,Clone Graph,clone-graph,Medium,"hash-table,depth-first-search,breadth-first-search,graph"
134,Gas Station,gas-station,Medium,"array,greedy"
135,Candy,candy,Hard,"array,greedy"
136,Single Number,single-number,Easy,"array,bit-manipulation"
137,Single Number II,single-number-ii,Medium,"array,bit-manipulation"
138,Copy List with Random Pointer,copy-list-with-random-pointer,Medium,"hash-table,linked-list"
139,Word Break,word-break,Medium,"array,hash-table,string,dynamic-programming,trie,memoization"
140,Word Break II,word-break-ii,Hard,"array,hash-table,string,dynamic-programming,backtracking,trie,memoization"
141,Linked List Cycle,linked-list-cycle,Easy,"hash-table,linked-list,two-pointers"
142,Linked List Cycle II,linked-list-cycle-ii,Medium,"hash-table,linked-list,two-pointers"
143,Reorder List,reorder-list,Medium,"linked-list,two-pointers,stack,recursion"
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,"stack,tree,depth-first-search,binary-tree"
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,"stack,tree,depth-first-search,binary-tree"
146,LRU Cache,lru-cache,Medium,"hash-table,linked-list,design,doubly-linked-list"
147,Insertion Sort List,insertion-sort-list,Medium,"linked-list,sorting"
148,Sort List,sort-list,Medium,"linked-list,two-pointers,divide-and-conquer,sorting,merge-sort"
149,Max Points on a Line,max-points-on-a-line,Hard,"array,hash-table,math,geometry"
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,"array,math,stack"
151,Reverse Words in a String,reverse-words-in-a-string,Medium,"two-pointers,string"
152,Maximum Product Subarray,maximum-product-subarray,Medium,"array,dynamic-programming"
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,"array,binary-search"
154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,Hard,"array,binary-search"
155,Min Stack,min-stack,Medium,"stack,design"
156,Binary Tree Upside Down,binary-tree-upside-down,Medium,"tree,depth-first-search,binary-tree"
157,Read N Characters Given Read4,read-n-characters-given-read4,Easy,"string,simulation,interactive"
158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,Hard,"string,simulation,interactive"
159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,Medium,"hash-table,string,sliding-window"
160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,Easy,"hash-table,linked-list,two-pointers"
161,One Edit Distance,one-edit-distance,Medium,"two-pointers,string"
162,Find Peak Element,find-peak-element,Medium,"array,binary-search"
163,Missing Ranges,missing-ranges,Easy,array
164,Maximum Gap,maximum-gap,Medium,"array,sorting,bucket-sort,radix-sort"
165,Compare Version Numbers,compare-version-numbers,Medium,"two-pointers,string"
166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,Medium,"hash-table,math,string"
167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Medium,"array,two-pointers,binary-search"
168,Excel Sheet Column Title,excel-sheet-column-title,Easy,"math,string"
169,Majority Element,majority-element,Easy,"array,hash-table,divide-and-conquer,sorting,counting"
170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,Easy,"array,hash-table,two-pointers,design,data-stream"
171,Excel Sheet Column Number,excel-sheet-column-number,Easy,"math,string"
172,Factorial Trailing Zeroes,factorial-trailing-zeroes,Medium,math
173,Binary Search Tree Iterator,binary-search-tree-iterator,Medium,"stack,tree,design,binary-search-tree,binary-tree,iterator"
174,Dungeon Game,dungeon-game,Hard,"array,dynamic-programming,matrix"
175,Combine Two Tables,combine-two-tables,Easy,database
176,Second Highest Salary,second-highest-salary,Medium,database
177,Nth Highest Salary,nth-highest-salary,Medium,database
178,Rank Scores,rank-scores,Medium,database
179,Largest Number,largest-number,Medium,"array,string,greedy,sorting"
180,Consecutive Numbers,consecutive-numbers,Medium,database
181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Easy,database
182,Duplicate Emails,duplicate-emails,Easy,database
183,Customers Who Never Order,customers-who-never-order,Easy,database
184,Department Highest Salary,department-highest-salary,Medium,database
185,Department Top Three Salaries,department-top-three-salaries,Hard,database
186,Reverse Words in a String II,reverse-words-in-a-string-ii,Medium,"two-pointers,string"
187,Repeated DNA Sequences,repeated-dna-sequences,Medium,"hash-table,string,bit-manipulation,sliding-window,rolling-hash,hash-function"
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,Hard,"array,dynamic-programming"
189,Rotate Array,rotate-array,Medium,"array,math,two-pointers"
190,Reverse Bits,reverse-bits,Easy,"divide-and-conquer,bit-manipulation"
191,Number of 1 Bits,number-of-1-bits,Easy,"divide-and-conquer,bit-manipulation"
192,Word Frequency,word-frequency,Medium,shell
193,Valid Phone Numbers,valid-phone-numbers,Easy,shell
194,Transpose File,transpose-file,Medium,shell
195,Tenth Line,tenth-line,Easy,shell
196,Delete Duplicate Emails,delete-duplicate-emails,Easy,database
197,Rising Temperature,rising-temperature,Easy,database
198,House Robber,house-robber,Medium,"array,dynamic-programming"
199,Binary Tree Right Side View,binary-tree-right-side-view,Medium,"tree,depth-first-search,breadth-first-search,binary-tree"
200,Number of Islands,number-of-islands,Medium,"array,depth-first-search,breadth-first-search,union-find,matrix"
201,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,Medium,bit-manipulation
202,Happy Number,happy-number,Easy,"hash-table,math,two-pointers"
203,Remove Linked List Elements,remove-linked-list-elements,Easy,"linked-list,recursion"
204,Count Primes,count-primes,Medium,"array,math,enumeration,number-theory"
205,Isomorphic Strings,isomorphic-strings,Easy,"hash-table,string"
206,Reverse Linked List,reverse-linked-list,Easy,"linked-list,recursion"
207,Course Schedule,course-schedule,Medium,"depth-first-search,breadth-first-search,graph,topological-sort"
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,Medium,"hash-table,string,design,trie"
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,Medium,"array,binary-search,sliding-window,prefix-sum"
210,Course Schedule II,course-schedule-ii,Medium,"depth-first-search,breadth-first-search,graph,topological-sort"
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,Medium,"string,depth-first-search,design,trie"
212,Word Search II,word-search-ii,Hard,"array,string,backtracking,trie,matrix"
213,House Robber II,house-robber-ii,Medium,"array,dynamic-programming"
214,Shortest Palindrome,shortest-palindrome,Hard,"string,rolling-hash,string-matching,hash-function"
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,Medium,"array,divide-and-conquer,sorting,heap-priority-queue,quickselect"
216,Combination Sum III,combination-sum-iii,Medium,"array,backtracking"
217,Contains Duplicate,contains-duplicate,Easy,"array,hash-table,sorting"
218,The Skyline Problem,the-skyline-problem,Hard,"array,divide-and-conquer,binary-indexed-tree,segment-tree,line-sweep,heap-priority-queue,ordered-set"
219,Contains Duplicate II,contains-duplicate-ii,Easy,"array,hash-table,sliding-window"
220,Contains Duplicate III,contains-duplicate-iii,Hard,"array,sliding-window,sorting,bucket-sort,ordered-set"
221,Maximal Square,maximal-square,Medium,"array,dynamic-programming,matrix"
222,Count Complete Tree Nodes,count-complete-tree-nodes,Easy,"binary-search,tree,depth-first-search,binary-tree"
223,Rectangle Area,rectangle-area,Medium,"math,geometry"
224,Basic Calculator,basic-calculator,Hard,"math,string,stack,recursion"
225,Implement Stack using Queues,implement-stack-using-queues,Easy,"stack,design,queue"
226,Invert Binary Tree,invert-binary-tree,Easy,"tree,depth-first-search,breadth-first-search,binary-tree"
227,Basic Calculator II,basic-calculator-ii,Medium,"math,string,stack"
228,Summary Ranges,summary-ranges,Easy,array
229,Majority Element II,majority-element-ii,Medium,"array,hash-table,sorting,counting"
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,Medium,"tree,depth-first-search,binary-search-tree,binary-tree"
231,Power of Two,power-of-two,Easy,"math,bit-manipulation,recursion"
232,Implement Queue using Stacks,implement-queue-using-stacks,Easy,"stack,design,queue"
233,Number of Digit One,number-of-digit-one,Hard,"math,dynamic-programming,recursion"
234,Palindrome Linked List,palindrome-linked-list,Easy,"linked-list,two-pointers,stack,recursion"
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,Medium,"tree,depth-first-search,binary-search-tree,binary-tree"
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,Medium,"tree,depth-first-search,binary-tree"
237,Delete Node in a Linked List,delete-node-in-a-linked-list,Medium,linked-list
238,Product of Array Except Self,product-of-array-except-self,Medium,"array,prefix-sum"
239,Sliding Window Maximum,sliding-window-maximum,Hard,"array,queue,sliding-window,heap-priority-queue,monotonic-queue"
240,Search a 2D Matrix II,search-a-2d-matrix-ii,Medium,"array,binary-search,divide-and-conquer,matrix"
241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,Medium,"math,string,dynamic-programming,recursion,memoization"
242,Valid Anagram,valid-anagram,Easy,"hash-table,string,sorting"
243,Shortest Word Distance,shortest-word-distance,Easy,"array,string"
244,Shortest Word Distance II,shortest-word-distance-ii,Medium,"array,hash-table,two-pointers,string,design"
245,Shortest Word Distance III,shortest-word-distance-iii,Medium,"array,string"
246,Strobogrammatic Number,strobogrammatic-number,Easy,"hash-table,two-pointers,string"
247,Strobogrammatic Number II,strobogrammatic-number-ii,Medium,"array,string,recursion"
248,Strobogrammatic Number III,strobogrammatic-number-iii,Hard,"array,string,recursion"
249,Group Shifted Strings,group-shifted-strings,Medium,"array,hash-table,string"
250,Count Univalue Subtrees,count-univalue-subtrees,Medium,"tree,depth-first-search,binary-tree"
251,Flatten 2D Vector,flatten-2d-vector,Medium,"array,two-pointers,design,iterator"
252,Meeting Rooms,meeting-rooms,Easy,"array,sorting"
253,Meeting Rooms II,meeting-rooms-ii,Medium,"array,two-pointers,greedy,sorting,heap-priority-queue,prefix-sum"
254,Factor Combinations,factor-combinations,Medium,"array,backtracking"
255,Verify Preorder Sequence in Binary Search Tree,verify-preorder-sequence-in-binary-search-tree,Medium,"stack,tree,binary-search-tree,recursion,monotonic-stack,binary-tree"
256,Paint House,paint-house,Medium,"array,dynamic-programming"
257,Binary Tree Paths,binary-tree-paths,Easy,"string,backtracking,tree,depth-first-search,binary-tree"
258,Add Digits,add-digits,Easy,"math,simulation,number-theory"
259,3Sum Smaller,3sum-smaller,Medium,"array,two-pointers,binary-search,sorting"
260,Single Number III,single-number-iii,Medium,"array,bit-manipulation"
261,Graph Valid Tree,graph-valid-tree,Medium,"depth-first-search,breadth-first-search,union-find,graph"
262,Trips and Users,trips-and-users,Hard,database
263,Ugly Number,ugly-number,Easy,math
264,Ugly Number II,ugly-number-ii,Medium,"hash-table,math,dynamic-programming,heap-priority-queue"
265,Paint House II,paint-house-ii,Hard,"array,dynamic-programming"
266,Palindrome Permutation,palindrome-permutation,Easy,"hash-table,string,bit-manipulation"
267,Palindrome Permutation II,palindrome-permutation-ii,Medium,"hash-table,string,backtracking"
268,Missing Number,missing-number,Easy,"array,hash-table,math,binary-search,bit-manipulation,sorting"
269,Alien Dictionary,alien-dictionary,Hard,"array,string,depth-first-search,breadth-first-search,graph,topological-sort"
270,Closest Binary Search Tree Value,closest-binary-search-tree-value,Easy,"binary-search,tree,depth-first-search,binary-search-tree,binary-tree"
271,Encode and Decode Strings,encode-and-decode-strings,Medium,"array,string,design"
272,Closest Binary Search Tree Value II,closest-binary-search-tree-value-ii,Hard,"two-pointers,stack,tree,depth-first-search,binary-search-tree,heap-priority-queue,binary-tree"
273,Integer to English Words,integer-to-english-words,Hard,"math,string,recursion"
274,H-Index,h-index,Medium,"array,sorting,counting-sort"
275,H-Index II,h-index-ii,Medium,"array,binary-search"
276,Paint Fence,paint-fence,Medium,dynamic-programming
277,Find the Celebrity,find-the-celebrity,Medium,"two-pointers,graph,interactive"
278,First Bad Version,first-bad-version,Easy,"binary-search,interactive"
279,Perfect Squares,perfect-squares,Medium,"math,dynamic-programming,breadth-first-search"
280,Wiggle Sort,wiggle-sort,Medium,"array,greedy,sorting"
281,Zigzag Iterator,zigzag-iterator,Medium,"array,design,queue,iterator"
282,Expression Add Operators,expression-add-operators,Hard,"math,string,backtracking"
283,Move Zeroes,move-zeroes,Easy,"array,two-pointers"
284,Peeking Iterator,peeking-iterator,Medium,"array,design,iterator"
285,Inorder Successor in BST,inorder-successor-in-bst,Medium,"tree,depth-first-search,binary-search-tree,binary-tree"
286,Walls and Gates,walls-and-gates,Medium,"array,breadth-first-search,matrix"
287,Find the Duplicate Number,find-the-duplicate-number,Medium,"array,two-pointers,binary-search,bit-manipulation"
288,Unique Word Abbreviation,unique-word-abbreviation,Medium,"array,hash-table,string,design"
289,Game of Life,game-of-life,Medium,"array,matrix,simulation"
290,Word Pattern,word-pattern,Easy,"hash-table,string"
291,Word Pattern II,word-pattern-ii,Medium,"hash-table,string,backtracking"
292,Nim Game,nim-game,Easy,"math,brainteaser,game-theory"
293,Flip Game,flip-game,Easy,string
294,Flip Game II,flip-game-ii,Medium,"math,dynamic-programming,backtracking,memoization,game-theory"
295,Find Median from Data Stream,find-median-from-data-stream,Hard,"two-pointers,design,sorting,heap-priority-queue,data-stream"
296,Best Meeting Point,best-meeting-point,Hard,"array,math,sorting,matrix"
297,Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,Hard,"string,tree,depth-first-search,breadth-first-search,design,binary-tree"
298,Binary Tree Longest Consecutive Sequence,binary-tree-longest-consecutive-sequence,Medium,"tree,depth-first-search,binary-tree"
299,Bulls and Cows,bulls-and-cows,Medium,"hash-table,string,counting"
300,Longest Increasing Subsequence,longest-increasing-subsequence,Medium,"array,binary-search,dynamic-programming"
301,Remove Invalid Parentheses,remove-invalid-parentheses,Hard,"string,backtracking,breadth-first-search"
302,Smallest Rectangle Enclosing Black Pixels,smallest-rectangle-enclosing-black-pixels,Hard,"array,binary-search,depth-first-search,breadth-first-search,matrix"
303,Range Sum Query - Immutable,range-sum-query-immutable,Easy,"array,design,prefix-sum"
304,Range Sum Query 2D - Immutable,range-sum-query-2d-immutable,Medium,"array,design,matrix,prefix-sum"
305,Number of Islands II,number-of-islands-ii,Hard,"array,union-find"
306,Additive Number,additive-number,Medium,"string,backtracking"
307,Range Sum Query - Mutable,range-sum-query-mutable,Medium,"array,design,binary-indexed-tree,segment-tree"
308,Range Sum Query 2D - Mutable,range-sum-query-2d-mutable,Hard,"array,design,binary-indexed-tree,segment-tree,matrix"
309,Best Time to Buy and Sell Stock with Cooldown,best-time-to-buy-and-sell-stock-with-cooldown,Medium,"array,dynamic-programming"
310,Minimum Height Trees,minimum-height-trees,Medium,"depth-first-search,breadth-first-search,graph,topological-sort"
311,Sparse Matrix Multiplication,sparse-matrix-multiplication,Medium,"array,hash-table,matrix"
312,Burst Balloons,burst-balloons,Hard,"array,dynamic-programming"
313,Super Ugly Number,super-ugly-number,Medium,"array,math,dynamic-programming"
314,Binary Tree Vertical Order Traversal,binary-tree-vertical-order-traversal,Medium,"hash-table,tree,depth-first-search,breadth-first-search,binary-tree"
315,Count of Smaller Numbers After Self,count-of-smaller-numbers-after-self,Hard,"array,binary-search,divide-and-conquer,binary-indexed-tree,segment-tree,merge-sort,ordered-set"
316,Remove Duplicate Letters,remove-duplicate-letters,Medium,"string,stack,greedy,monotonic-stack"
317,Shortest Distance from All Buildings,shortest-distance-from-all-buildings,Hard,"array,breadth-first-search,matrix"
318,Maximum Product of Word Lengths,maximum-product-of-word-lengths,Medium,"array,string,bit-manipulation"
319,Bulb Switcher,bulb-switcher,Medium,"math,brainteaser"
320,Generalized Abbreviation,generalized-abbreviation,Medium,"string,backtracking,bit-manipulation"
321,Create Maximum Number,create-maximum-number,Hard,"stack,greedy,monotonic-stack"
322,Coin Change,coin-change,Medium,"array,dynamic-programming,breadth-first-search"
323,Number of Connected Components in an Undirected Graph,number-of-connected-components-in-an-undirected-graph,Medium,"depth-first-search,breadth-first-search,union-find,graph"
324,Wiggle Sort II,wiggle-sort-ii,Medium,"array,divide-and-conquer,sorting,quickselect"
325,Maximum Size Subarray Sum Equals k,maximum-size-subarray-sum-equals-k,Medium,"array,hash-table,prefix-sum"
326,Power of Three,power-of-three,Easy,"math,recursion"
327,Count of Range Sum,count-of-range-sum,Hard,"array,binary-search,divide-and-conquer,binary-indexed-tree,segment-tree,merge-sort,ordered-set"
328,Odd Even Linked List,odd-even-linked-list,Medium,linked-list
329,Longest Increasing Path in a Matrix,longest-increasing-path-in-a-matrix,Hard,"array,dynamic-programming,depth-first-search,breadth-first-search,graph,topological-sort,memoization,matrix"
330,Patching Array,patching-array,Hard,"array,greedy"
331,Verify Preorder Serialization of a Binary Tree,verify-preorder-serialization-of-a-binary-tree,Medium,"string,stack,tree,binary-tree"
332,Reconstruct Itinerary,reconstruct-itinerary,Hard,"depth-first-search,graph,eulerian-circuit"
333,Largest BST Subtree,largest-bst-subtree,Medium,"dynamic-programming,tree,depth-first-search,binary-search-tree,binary-tree"
