QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
99,Recover Binary Search Tree,recover-binary-search-tree,Medium,52.100589767832496,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
100,Same Tree,same-tree,Easy,59.79993305088749,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
101,Symmetric Tree,symmetric-tree,Easy,55.39561051786662,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,65.85911097996227,False,"tree,breadth-first-search,binary-tree",algorithms
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,57.99268585497587,False,"tree,breadth-first-search,binary-tree",algorithms
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,74.61086837793556,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,62.692972605229194,False,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,61.4383420221262,False,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,Medium,62.2958461769097,False,"tree,breadth-first-search,binary-tree",algorithms
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,Easy,70.79253917353249,False,"array,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,Medium,61.01947236258186,False,"linked-list,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
110,Balanced Binary Tree,balanced-binary-tree,Easy,50.59940880445972,False,"tree,depth-first-search,binary-tree",algorithms
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,Easy,46.695944584666016,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
112,Path Sum,path-sum,Easy,49.20622496431696,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
113,Path Sum II,path-sum-ii,Medium,57.74151798771571,False,"backtracking,tree,depth-first-search,binary-tree",algorithms
114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,Medium,63.43322920441714,False,"linked-list,stack,tree,depth-first-search,binary-tree",algorithms
115,Distinct Subsequences,distinct-subsequences,Hard,45.50392810521549,False,"string,dynamic-programming",algorithms
116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,Medium,61.59452516164703,False,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,Medium,51.314831705438024,False,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
118,Pascal's Triangle,pascals-triangle,Easy,73.11036989843721,False,"array,dynamic-programming",algorithms
119,Pascal's Triangle II,pascals-triangle-ii,Easy,63.208813572588696,False,"array,dynamic-programming",algorithms
120,Triangle,triangle,Medium,55.6922852664498,False,"array,dynamic-programming",algorithms
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,53.4825595778016,False,"array,dynamic-programming",algorithms
122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,Medium,65.15442359719898,False,"array,dynamic-programming,greedy",algorithms
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,Hard,46.93677132552353,False,"array,dynamic-programming",algorithms
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,Hard,39.57166216929665,False,"dynamic-programming,tree,depth-first-search,binary-tree",algorithms
125,Valid Palindrome,valid-palindrome,Easy,45.870427081217926,False,"two-pointers,string",algorithms
126,Word Ladder II,word-ladder-ii,Hard,27.3354619265013,False,"hash-table,string,backtracking,breadth-first-search",algorithms
127,Word Ladder,word-ladder,Hard,38.11431183482642,False,"hash-table,string,breadth-first-search",algorithms
128,Longest Consecutive Sequence,longest-consecutive-sequence,Medium,47.429653035471944,False,"array,hash-table,union-find",algorithms
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,62.15020142654851,False,"tree,depth-first-search,binary-tree",algorithms
130,Surrounded Regions,surrounded-regions,Medium,38.15693455955657,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
131,Palindrome Partitioning,palindrome-partitioning,Medium,66.33593064580886,False,"string,dynamic-programming,backtracking",algorithms
132,Palindrome Partitioning II,palindrome-partitioning-ii,Hard,33.606880218077414,False,"string,dynamic-programming",algorithms
133,Clone Graph,clone-graph,Medium,55.07723491037272,False,"hash-table,depth-first-search,breadth-first-search,graph",algorithms
134,Gas Station,gas-station,Medium,45.7894155072225,False,"array,greedy",algorithms
135,Candy,candy,Hard,43.253109528935354,False,"array,greedy",algorithms
136,Single Number,single-number,Easy,71.70642340721713,False,"array,bit-manipulation",algorithms
137,Single Number II,single-number-ii,Medium,61.65291659868481,False,"array,bit-manipulation",algorithms
138,Copy List with Random Pointer,copy-list-with-random-pointer,Medium,54.31760318383921,False,"hash-table,linked-list",algorithms
139,Word Break,word-break,Medium,46.271052754813056,False,"array,hash-table,string,dynamic-programming,trie,memoization",algorithms
140,Word Break II,word-break-ii,Hard,46.5026745519738,False,"array,hash-table,string,dynamic-programming,backtracking,trie,memoization",algorithms
141,Linked List Cycle,linked-list-cycle,Easy,48.916292598380934,False,"hash-table,linked-list,two-pointers",algorithms
142,Linked List Cycle II,linked-list-cycle-ii,Medium,50.11569486850117,False,"hash-table,linked-list,two-pointers",algorithms
143,Reorder List,reorder-list,Medium,54.70892619624712,False,"linked-list,two-pointers,stack,recursion",algorithms
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,68.29923166191236,False,"stack,tree,depth-first-search,binary-tree",algorithms
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,69.61170759922571,False,"stack,tree,depth-first-search,binary-tree",algorithms
146,LRU Cache,lru-cache,Medium,41.72526211338115,False,"hash-table,linked-list,design,doubly-linked-list",algorithms
147,Insertion Sort List,insertion-sort-list,Medium,52.23247364955397,False,"linked-list,sorting",algorithms
148,Sort List,sort-list,Medium,56.521269204045396,False,"linked-list,two-pointers,divide-and-conquer,sorting,merge-sort",algorithms
149,Max Points on a Line,max-points-on-a-line,Hard,25.88408573754599,False,"array,hash-table,math,geometry",algorithms
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,47.8347669330365,False,"array,math,stack",algorithms
151,Reverse Words in a String,reverse-words-in-a-string,Medium,37.51732461777789,False,"two-pointers,string",algorithms
152,Maximum Product Subarray,maximum-product-subarray,Medium,34.826493001407535,False,"array,dynamic-programming",algorithms
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,49.57080724498468,False,"array,binary-search",algorithms
154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,Hard,43.48707840145563,False,"array,binary-search",algorithms
155,Min Stack,min-stack,Medium,53.151254039653395,False,"stack,design",algorithms
156,Binary Tree Upside Down,binary-tree-upside-down,Medium,62.28788672977701,True,"tree,depth-first-search,binary-tree",algorithms
157,Read N Characters Given Read4,read-n-characters-given-read4,Easy,41.19204172749691,True,"string,simulation,interactive",algorithms
158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,Hard,41.89117182420172,True,"string,simulation,interactive",algorithms
159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,Medium,54.232192520743794,True,"hash-table,string,sliding-window",algorithms
160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,Easy,56.02468280618342,False,"hash-table,linked-list,two-pointers",algorithms
161,One Edit Distance,one-edit-distance,Medium,34.22416486725679,True,"two-pointers,string",algorithms
162,Find Peak Element,find-peak-element,Medium,45.79132041508088,False,"array,binary-search",algorithms
163,Missing Ranges,missing-ranges,Easy,32.75652566980532,True,array,algorithms
164,Maximum Gap,maximum-gap,Medium,44.43684977390314,False,"array,sorting,bucket-sort,radix-sort",algorithms
165,Compare Version Numbers,compare-version-numbers,Medium,36.3095878832821,False,"two-pointers,string",algorithms
166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,Medium,24.58043337630699,False,"hash-table,math,string",algorithms
167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Medium,60.39986504984345,False,"array,two-pointers,binary-search",algorithms
168,Excel Sheet Column Title,excel-sheet-column-title,Easy,39.56975911762059,False,"math,string",algorithms
169,Majority Element,majority-element,Easy,63.85028424207786,False,"array,hash-table,divide-and-conquer,sorting,counting",algorithms
170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,Easy,37.7517212751401,True,"array,hash-table,two-pointers,design,data-stream",algorithms
171,Excel Sheet Column Number,excel-sheet-column-number,Easy,62.945649568493145,False,"math,string",algorithms
172,Factorial Trailing Zeroes,factorial-trailing-zeroes,Medium,42.80010168341358,False,math,algorithms
173,Binary Search Tree Iterator,binary-search-tree-iterator,Medium,70.85349671024659,False,"stack,tree,design,binary-search-tree,binary-tree,iterator",algorithms
174,Dungeon Game,dungeon-game,Hard,37.71311641374911,False,"array,dynamic-programming,matrix",algorithms
175,Combine Two Tables,combine-two-tables,Easy,74.9765857014413,False,database,database
176,Second Highest Salary,second-highest-salary,Medium,39.05395040704916,False,database,database
177,Nth Highest Salary,nth-highest-salary,Medium,38.08613158049232,False,database,database
178,Rank Scores,rank-scores,Medium,61.278854949509444,False,database,database
179,Largest Number,largest-number,Medium,35.319957946236926,False,"array,string,greedy,sorting",algorithms
180,Consecutive Numbers,consecutive-numbers,Medium,46.708653930914636,False,database,database
181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Easy,68.87302052569223,False,database,database
182,Duplicate Emails,duplicate-emails,Easy,70.73429920935939,False,database,database
183,Customers Who Never Order,customers-who-never-order,Easy,68.5991284615692,False,database,database
184,Department Highest Salary,department-highest-salary,Medium,50.66842323812597,False,database,database
185,Department Top Three Salaries,department-top-three-salaries,Hard,51.1711113201091,False,database,database
186,Reverse Words in a String II,reverse-words-in-a-string-ii,Medium,53.600990474052665,True,"two-pointers,string",algorithms
187,Repeated DNA Sequences,repeated-dna-sequences,Medium,47.8676964870106,False,"hash-table,string,bit-manipulation,sliding-window,rolling-hash,hash-function",algorithms
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,Hard,41.13732939957201,False,"array,dynamic-programming",algorithms
189,Rotate Array,rotate-array,Medium,39.88789496814334,False,"array,math,two-pointers",algorithms
190,Reverse Bits,reverse-bits,Easy,56.29004354155168,False,"divide-and-conquer,bit-manipulation",algorithms
191,Number of 1 Bits,number-of-1-bits,Easy,68.45056726635593,False,"divide-and-conquer,bit-manipulation",algorithms
192,Word Frequency,word-frequency,Medium,25.457885531367218,False,shell,shell
193,Valid Phone Numbers,valid-phone-numbers,Easy,25.734949464086693,False,shell,shell
194,Transpose File,transpose-file,Medium,25.56100048782651,False,shell,shell
195,Tenth Line,tenth-line,Easy,32.892733731242295,False,shell,shell
196,Delete Duplicate Emails,delete-duplicate-emails,Easy,61.017964153726886,False,database,database
197,Rising Temperature,rising-temperature,Easy,45.84270725798823,False,database,database
198,House Robber,house-robber,Medium,50.00001370449115,False,"array,dynamic-programming",algorithms
199,Binary Tree Right Side View,binary-tree-right-side-view,Medium,62.34247306409646,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
200,Number of Islands,number-of-islands,Medium,57.918766922939355,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
201,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,Medium,42.73088659192996,False,bit-manipulation,algorithms
202,Happy Number,happy-number,Easy,55.398564402695335,False,"hash-table,math,two-pointers",algorithms
203,Remove Linked List Elements,remove-linked-list-elements,Easy,47.42868532851966,False,"linked-list,recursion",algorithms
204,Count Primes,count-primes,Medium,33.353320278390804,False,"array,math,enumeration,number-theory",algorithms
205,Isomorphic Strings,isomorphic-strings,Easy,43.495852323587094,False,"hash-table,string",algorithms
206,Reverse Linked List,reverse-linked-list,Easy,74.90168010294931,False,"linked-list,recursion",algorithms
207,Course Schedule,course-schedule,Medium,46.25056822976353,False,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,Medium,63.95134277321355,False,"hash-table,string,design,trie",algorithms
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,Medium,46.48273545470056,False,"array,binary-search,sliding-window,prefix-sum",algorithms
210,Course Schedule II,course-schedule-ii,Medium,49.4381481748839,False,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,Medium,44.48805904121229,False,"string,depth-first-search,design,trie",algorithms
212,Word Search II,word-search-ii,Hard,36.13337005831611,False,"array,string,backtracking,trie,matrix",algorithms
213,House Robber II,house-robber-ii,Medium,41.55003558881407,False,"array,dynamic-programming",algorithms
214,Shortest Palindrome,shortest-palindrome,Hard,32.747396862013936,False,"string,rolling-hash,string-matching,hash-function",algorithms
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,Medium,67.03873116641638,False,"array,divide-and-conquer,sorting,heap-priority-queue,quickselect",algorithms
216,Combination Sum III,combination-sum-iii,Medium,68.69079848002112,False,"array,backtracking",algorithms
217,Contains Duplicate,contains-duplicate,Easy,61.054418503325,False,"array,hash-table,sorting",algorithms
218,The Skyline Problem,the-skyline-problem,Hard,42.260838546895926,False,"array,divide-and-conquer,binary-indexed-tree,segment-tree,line-sweep,heap-priority-queue,ordered-set",algorithms
219,Contains Duplicate II,contains-duplicate-ii,Easy,43.65800873105057,False,"array,hash-table,sliding-window",algorithms
220,Contains Duplicate III,contains-duplicate-iii,Hard,22.46297953369846,False,"array,sliding-window,sorting,bucket-sort,ordered-set",algorithms
221,Maximal Square,maximal-square,Medium,45.80029456719704,False,"array,dynamic-programming,matrix",algorithms
222,Count Complete Tree Nodes,count-complete-tree-nodes,Easy,62.85205660670103,False,"binary-search,tree,depth-first-search,binary-tree",algorithms
223,Rectangle Area,rectangle-area,Medium,45.50043504684952,False,"math,geometry",algorithms
224,Basic Calculator,basic-calculator,Hard,42.733357460491774,False,"math,string,stack,recursion",algorithms
225,Implement Stack using Queues,implement-stack-using-queues,Easy,62.36552001781646,False,"stack,design,queue",algorithms
226,Invert Binary Tree,invert-binary-tree,Easy,75.88423513264277,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
227,Basic Calculator II,basic-calculator-ii,Medium,42.799151098416125,False,"math,string,stack",algorithms
228,Summary Ranges,summary-ranges,Easy,49.65121228613722,False,array,algorithms
229,Majority Element II,majority-element-ii,Medium,50.29300593280767,False,"array,hash-table,sorting,counting",algorithms
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,Medium,71.38790923947276,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
231,Power of Two,power-of-two,Easy,46.3616714862257,False,"math,bit-manipulation,recursion",algorithms
232,Implement Queue using Stacks,implement-queue-using-stacks,Easy,64.05948707852022,False,"stack,design,queue",algorithms
233,Number of Digit One,number-of-digit-one,Hard,34.249850080161224,False,"math,dynamic-programming,recursion",algorithms
234,Palindrome Linked List,palindrome-linked-list,Easy,51.11251229778949,False,"linked-list,two-pointers,stack,recursion",algorithms
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,Medium,63.24297377357128,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,Medium,60.5095714769943,False,"tree,depth-first-search,binary-tree",algorithms
237,Delete Node in a Linked List,delete-node-in-a-linked-list,Medium,77.37370085976856,False,linked-list,algorithms
238,Product of Array Except Self,product-of-array-except-self,Medium,65.03644360356454,False,"array,prefix-sum",algorithms
239,Sliding Window Maximum,sliding-window-maximum,Hard,46.423363027657665,False,"array,queue,sliding-window,heap-priority-queue,monotonic-queue",algorithms
240,Search a 2D Matrix II,search-a-2d-matrix-ii,Medium,51.78114492870064,False,"array,binary-search,divide-and-conquer,matrix",algorithms
241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,Medium,64.74702104988543,False,"math,string,dynamic-programming,recursion,memoization",algorithms
242,Valid Anagram,valid-anagram,Easy,63.37856911685337,False,"hash-table,string,sorting",algorithms
243,Shortest Word Distance,shortest-word-distance,Easy,65.12793291499996,True,"array,string",algorithms
244,Shortest Word Distance II,shortest-word-distance-ii,Medium,60.997061456030146,True,"array,hash-table,two-pointers,string,design",algorithms
245,Shortest Word Distance III,shortest-word-distance-iii,Medium,58.226281887987184,True,"array,string",algorithms
246,Strobogrammatic Number,strobogrammatic-number,Easy,47.651736519981974,True,"hash-table,two-pointers,string",algorithms
247,Strobogrammatic Number II,strobogrammatic-number-ii,Medium,51.74434098319538,True,"array,string,recursion",algorithms
248,Strobogrammatic Number III,strobogrammatic-number-iii,Hard,41.99908674729829,True,"array,string,recursion",algorithms
249,Group Shifted Strings,group-shifted-strings,Medium,64.63453609389191,True,"array,hash-table,string",algorithms
250,Count Univalue Subtrees,count-univalue-subtrees,Medium,56.05735758581737,True,"tree,depth-first-search,binary-tree",algorithms
251,Flatten 2D Vector,flatten-2d-vector,Medium,49.29523533134218,True,"array,two-pointers,design,iterator",algorithms
252,Meeting Rooms,meeting-rooms,Easy,57.625020970034214,True,"array,sorting",algorithms
253,Meeting Rooms II,meeting-rooms-ii,Medium,50.80280152055644,True,"array,two-pointers,greedy,sorting,heap-priority-queue,prefix-sum",algorithms
