QID,title,titleSlug,difficulty,topicTags
2814,Minimum Time Takes to Reach Destination Without Drowning,minimum-time-takes-to-reach-destination-without-drowning,Hard,"array,breadth-first-search,matrix"
2815,Max Pair Sum in an Array,max-pair-sum-in-an-array,Easy,"array,hash-table"
2816,Double a Number Represented as a Linked List,double-a-number-represented-as-a-linked-list,Medium,"linked-list,math,stack"
2817,Minimum Absolute Difference Between Elements With Constraint,minimum-absolute-difference-between-elements-with-constraint,Medium,"array,binary-search,ordered-set"
2818,Apply Operations to Maximize Score,apply-operations-to-maximize-score,Hard,"array,math,stack,greedy,monotonic-stack,number-theory"
2819,Minimum Relative Loss After Buying Chocolates,minimum-relative-loss-after-buying-chocolates,Hard,
2820,Election Results,election-results,Medium,
2821,Delay the Resolution of Each Promise,delay-the-resolution-of-each-promise,Easy,
2822,Inversion of Object,inversion-of-object,Easy,
2823,Deep Object Filter,deep-object-filter,Medium,
2824,Count Pairs Whose Sum is Less than Target,count-pairs-whose-sum-is-less-than-target,Easy,"array,two-pointers,sorting"
2825,Make String a Subsequence Using Cyclic Increments,make-string-a-subsequence-using-cyclic-increments,Medium,"two-pointers,string"
2826,Sorting Three Groups,sorting-three-groups,Medium,"array,dynamic-programming"
2827,Number of Beautiful Integers in the Range,number-of-beautiful-integers-in-the-range,Hard,"math,dynamic-programming"
2828,Check if a String Is an Acronym of Words,check-if-a-string-is-an-acronym-of-words,Easy,"array,string"
2829,Determine the Minimum Sum of a k-avoiding Array,determine-the-minimum-sum-of-a-k-avoiding-array,Medium,"math,greedy"
2830,Maximize the Profit as the Salesman,maximize-the-profit-as-the-salesman,Medium,"array,binary-search,dynamic-programming,sorting"
2831,Find the Longest Equal Subarray,find-the-longest-equal-subarray,Medium,"array,hash-table,binary-search,sliding-window"
2832,Maximal Range That Each Element Is Maximum in It,maximal-range-that-each-element-is-maximum-in-it,Medium,"array,stack,monotonic-stack"
2833,Furthest Point From Origin,furthest-point-from-origin,Easy,"array,counting"
2834,Find the Minimum Possible Sum of a Beautiful Array,find-the-minimum-possible-sum-of-a-beautiful-array,Medium,"math,greedy"
2835,Minimum Operations to Form Subsequence With Target Sum,minimum-operations-to-form-subsequence-with-target-sum,Hard,"array,greedy,bit-manipulation"
2836,Maximize Value of Function in a Ball Passing Game,maximize-value-of-function-in-a-ball-passing-game,Hard,"array,dynamic-programming,bit-manipulation"
2837,Total Traveled Distance,total-traveled-distance,Easy,database
2838,Maximum Coins Heroes Can Collect,maximum-coins-heroes-can-collect,Medium,"array,two-pointers,binary-search,sorting,prefix-sum"
2839,Check if Strings Can be Made Equal With Operations I,check-if-strings-can-be-made-equal-with-operations-i,Easy,string
2840,Check if Strings Can be Made Equal With Operations II,check-if-strings-can-be-made-equal-with-operations-ii,Medium,"hash-table,string,sorting"
2841,Maximum Sum of Almost Unique Subarray,maximum-sum-of-almost-unique-subarray,Medium,"array,hash-table,sliding-window"
2842,Count K-Subsequences of a String With Maximum Beauty,count-k-subsequences-of-a-string-with-maximum-beauty,Hard,"hash-table,math,string,greedy,combinatorics"
2843,Count Symmetric Integers,count-symmetric-integers,Easy,"math,enumeration"
2844,Minimum Operations to Make a Special Number,minimum-operations-to-make-a-special-number,Medium,"math,string,greedy,enumeration"
2845,Count of Interesting Subarrays,count-of-interesting-subarrays,Medium,"array,hash-table,prefix-sum"
2846,Minimum Edge Weight Equilibrium Queries in a Tree,minimum-edge-weight-equilibrium-queries-in-a-tree,Hard,"array,tree,graph,strongly-connected-component"
2847,Smallest Number With Given Digit Product,smallest-number-with-given-digit-product,Medium,"math,greedy"
2848,Points That Intersect With Cars,points-that-intersect-with-cars,Easy,"hash-table,math,prefix-sum"
2849,Determine if a Cell Is Reachable at a Given Time,determine-if-a-cell-is-reachable-at-a-given-time,Medium,math
2850,Minimum Moves to Spread Stones Over Grid,minimum-moves-to-spread-stones-over-grid,Medium,"array,dynamic-programming,breadth-first-search,matrix"
2851,String Transformation,string-transformation,Hard,"math,string,dynamic-programming,string-matching"
2852,Sum of Remoteness of All Cells,sum-of-remoteness-of-all-cells,Medium,"array,depth-first-search,breadth-first-search,union-find,matrix"
2853,Highest Salaries Difference,highest-salaries-difference,Easy,database
2854,Rolling Average Steps,rolling-average-steps,Medium,database
2855,Minimum Right Shifts to Sort the Array,minimum-right-shifts-to-sort-the-array,Easy,array
2856,Minimum Array Length After Pair Removals,minimum-array-length-after-pair-removals,Medium,"array,hash-table,two-pointers,binary-search,greedy,counting"
2857,Count Pairs of Points With Distance k,count-pairs-of-points-with-distance-k,Medium,"array,hash-table,bit-manipulation"
2858,Minimum Edge Reversals So Every Node Is Reachable,minimum-edge-reversals-so-every-node-is-reachable,Hard,"dynamic-programming,depth-first-search,breadth-first-search,graph"
2859,Sum of Values at Indices With K Set Bits,sum-of-values-at-indices-with-k-set-bits,Easy,"array,bit-manipulation"
2860,Happy Students,happy-students,Medium,"array,sorting,enumeration"
2861,Maximum Number of Alloys,maximum-number-of-alloys,Medium,"array,binary-search"
2862,Maximum Element-Sum of a Complete Subset of Indices,maximum-element-sum-of-a-complete-subset-of-indices,Hard,"array,math,number-theory"
2863,Maximum Length of Semi-Decreasing Subarrays,maximum-length-of-semi-decreasing-subarrays,Medium,"array,hash-table,sorting"
2864,Maximum Odd Binary Number,maximum-odd-binary-number,Easy,"math,string,greedy"
2865,Beautiful Towers I,beautiful-towers-i,Medium,"array,stack,monotonic-stack"
2866,Beautiful Towers II,beautiful-towers-ii,Medium,"array,stack,monotonic-stack"
2867,Count Valid Paths in a Tree,count-valid-paths-in-a-tree,Hard,"math,dynamic-programming,tree,depth-first-search,number-theory"
2868,The Wording Game,the-wording-game,Hard,"array,math,two-pointers,string,game-theory"
2869,Minimum Operations to Collect Elements,minimum-operations-to-collect-elements,Easy,"array,hash-table"
2870,Minimum Number of Operations to Make Array Empty,minimum-number-of-operations-to-make-array-empty,Medium,"array,hash-table,greedy,counting"
2871,Split Array Into Maximum Number of Subarrays,split-array-into-maximum-number-of-subarrays,Medium,"array,greedy,bit-manipulation"
2872,Maximum Number of K-Divisible Components,maximum-number-of-k-divisible-components,Hard,"dynamic-programming,tree,depth-first-search"
2873,Maximum Value of an Ordered Triplet I,maximum-value-of-an-ordered-triplet-i,Easy,array
2874,Maximum Value of an Ordered Triplet II,maximum-value-of-an-ordered-triplet-ii,Medium,array
2875,Minimum Size Subarray in Infinite Array,minimum-size-subarray-in-infinite-array,Medium,"array,hash-table,sliding-window,prefix-sum"
2876,Count Visited Nodes in a Directed Graph,count-visited-nodes-in-a-directed-graph,Hard,"dynamic-programming,graph,memoization"
2877,Create a DataFrame from List,create-a-dataframe-from-list,Easy,
2878,Get the Size of a DataFrame,get-the-size-of-a-dataframe,Easy,
2879,Display the First Three Rows,display-the-first-three-rows,Easy,
2880,Select Data,select-data,Easy,
2881,Create a New Column,create-a-new-column,Easy,
2882,Drop Duplicate Rows,drop-duplicate-rows,Easy,
2883,Drop Missing Data,drop-missing-data,Easy,
2884,Modify Columns,modify-columns,Easy,
2885,Rename Columns,rename-columns,Easy,
2886,Change Data Type,change-data-type,Easy,
2887,Fill Missing Data,fill-missing-data,Easy,
2888,Reshape Data: Concatenate,reshape-data-concatenate,Easy,
2889,Reshape Data: Pivot,reshape-data-pivot,Easy,
2890,Reshape Data: Melt,reshape-data-melt,Easy,
2891,Method Chaining,method-chaining,Easy,
2892,Minimizing Array After Replacing Pairs With Their Product,minimizing-array-after-replacing-pairs-with-their-product,Medium,"array,dynamic-programming,greedy"
2893,Calculate Orders Within Each Interval,calculate-orders-within-each-interval,Medium,database
2894,Divisible and Non-divisible Sums Difference,divisible-and-non-divisible-sums-difference,Easy,math
2895,Minimum Processing Time,minimum-processing-time,Medium,"array,greedy,sorting"
2896,Apply Operations to Make Two Strings Equal,apply-operations-to-make-two-strings-equal,Medium,"string,dynamic-programming"
2897,Apply Operations on Array to Maximize Sum of Squares,apply-operations-on-array-to-maximize-sum-of-squares,Hard,"array,hash-table,greedy,bit-manipulation"
2898,Maximum Linear Stock Score,maximum-linear-stock-score,Medium,"array,hash-table"
2899,Last Visited Integers,last-visited-integers,Easy,"array,string,simulation"
2900,Longest Unequal Adjacent Groups Subsequence I,longest-unequal-adjacent-groups-subsequence-i,Medium,"array,string,dynamic-programming,greedy"
2901,Longest Unequal Adjacent Groups Subsequence II,longest-unequal-adjacent-groups-subsequence-ii,Medium,"array,string,dynamic-programming"
2902,Count of Sub-Multisets With Bounded Sum,count-of-sub-multisets-with-bounded-sum,Hard,"array,hash-table,dynamic-programming,sliding-window"
2903,Find Indices With Index and Value Difference I,find-indices-with-index-and-value-difference-i,Easy,array
2904,Shortest and Lexicographically Smallest Beautiful String,shortest-and-lexicographically-smallest-beautiful-string,Medium,"string,sliding-window"
2905,Find Indices With Index and Value Difference II,find-indices-with-index-and-value-difference-ii,Medium,array
2906,Construct Product Matrix,construct-product-matrix,Medium,"array,matrix,prefix-sum"
2907,Maximum Profitable Triplets With Increasing Prices I,maximum-profitable-triplets-with-increasing-prices-i,Medium,
